"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 26 17:08:10 CST 2021","Mon Jul 26 17:08:10 CST 2021","0","","pytest_Allure","","","","test_broken",""
"failed","Mon Jul 26 17:08:10 CST 2021","Mon Jul 26 17:08:10 CST 2021","0","","pytest_Allure","","","","test_failure",""
"skipped","Mon Jul 26 17:08:10 CST 2021","Mon Jul 26 17:08:10 CST 2021","0","","pytest_Allure","","","","test_skip",""
"passed","Mon Jul 26 17:08:10 CST 2021","Mon Jul 26 17:08:10 CST 2021","0","","pytest_Allure","","","","test_success",""
